1;Was ist das größte Land der Welt?
2;Mir geht es gut.
3;39+21
4;Welche Farbe hat ein Gras?
5;Wann geht die Sonne heute in Brandenburg unter?
6;Wie lange halten Champions im Kühlschrank? Gibt mir nur eine Zeitspanne in Tagen.
7;Wie alt ist die Erde?
8;Wie viele Gummibärchen sind ungefähr in einer normalen Tüte Haribos?
9;Wie alt wird ein Mensch im Durchschnitt?
10;Was ist die Wurzel aus 25?
11;Wie lautet die Quadratwurzel von 144?
12;Wann wurde Albert Einstein geboren?
13;Sind Menschen berechenbar?
14;Mache ein Vorschlag für ein Geschenk.
15;Wie viel kostet ein Sandwich?
16;Wieso feiern wir Oster?
17;Welche Pflanze ist die beliebteste Pflanze in Europa?
18;Wie ist die Entstehungsgeschichte von IKEA?
19;Woher kommt unser heutiges Zahlensystem?
20;Was ist die am häufigsten ausgeübt Religion und warum?
21;Wie kann ich am besten Schritt für Schritt einen Handstand lernen?
22;Was ist früh am Morgen für eine Uhrzeit?
23;Was ist der Unterschied zwischen einem Thermometer und einem Thermostat?
24;Beweise, dass die Summe aller Einheitswurzeln 0 ist: \sum_{k=0}^{n-1} e^{\frac{2\pi ik}{n}} = 0
25;Berechne beispielhaft wie viele Schokolinsen in einen Bus passen, unter der Bedingung, dass es sich um M&Ms mit Erdnuss handelt und der Bus 15 m lang ist.
26;Schreibe eine politische Rede zum Mauerfall!
27;Welche biologischen und physikalischen Ursachen gibt es, dass Menschen so unterschiedliche Körper haben?
28;"Erkläre diesen Python-Code und schreibe ihn in Java:
import numpy as np
a = np.arange(15).reshape(3, 5)
print(a)"
29;Schreibe mir ausführlich die Gründe zur Gründung der BRD und gehe dabei auf die wichtigesten Fakten ein.
30;Womit verbringen Menschen die meiste Zeit? Schreibe mir dazu eine ausführliche Diskussion von zwei unterschiedlichen Meinungen.
31;Beschreibe mir die Funktionsweise eines OLED Displays.
32;Ich muss ein wissenschaftliches Paper für die Uni zum Vergleich zweier LLMs schreiben. Wie gehe ich dafür am besten vor und schreibe mir solch ein Paper bespielhaft.
33;Schreibe mir eine ausführliche Hausarbeit über Transistoren.
34;Schreibe mir bitte eine ausführliche Gedichtanalyse über den Osterspaziergang vom Goethe.
35;Schreibe mit bitte einen Aufsatz über die Funktion der Enigma.
36;Schreibe mir einen Aufsatz über den Vergleich der 2 Programmiersprachen Java und Python. Gehe dabei vor allem auf die Syntax, Geschwindigkeit und Entstehung ein.
37;Wie kann ich mit GitHub Workflow alte Artifacts wieder löschen? Schreibe ein YAML Skript und erkläre es ausführlich.
38;Gib mir eine umfassende Erklärung der Theorien und Experimente in der Quantenmechanik, einschließlich der Kopenhagener Deutung, der Schrödinger-Gleichung, des Doppelspaltexperiments und der Interpretation von Quantenverschränkung.
39;Analysiere die Auswirkungen des Klimawandels auf das Ökosystem der Arktis und die globalen Folgen für das Wetter, den Meeresspiegel und die Biodiversität.
40;Welche Ausgabelayer in PyTorch gibt es für Regression? Erläutere jeden ausführlich.
